id,brand,model,year,color,configuration,engine_volume (liters),hp,fuel_type,gear_type,сhassis_config,mileage (km),EV,hybrid,gas_system,steering_wheel,generation,restyling,price (rub),URL,body_type,mileage_rus,date,views_num,location,broken,no_doc,model_rating,description,with_photo,photo_url,salesman,tax (rub)
48947064,Subaru,Impreza,2012,белый,Sport 2.0 i-S,2.0,150,бензин,вариатор,передний,129000,No,No,No,правый,4,NaN,650000,https://vladivostok.drom.ru/subaru/impreza/48947064.html,хэтчбек 5 дв.,No,16.11.2022,57,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/cNNaaOpFMHfadC8mxhyVptSH9CTFSny5C9ALWghJYkAuM6Nx9m9ASJ2_Zum3toT_8aEoRqKNQQdA6sD2Tvbzh1A5O8it.jpg,owner,2340
48946270,Subaru,Impreza,2010,черный,NaN,1.5,110,бензин,АКПП,передний,200000,No,No,No,правый,3,NaN,615000,https://vladivostok.drom.ru/subaru/impreza/48946270.html,хэтчбек 5 дв.,No,16.11.2022,33,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/bOt18lxu3CkU2FSBm4Vk4QVzbFTRiGr2iME1r9NAioL8eeoJM4G0IAITJQPW_4XH5TVThymbAeJnXOD22ZPBOALahD1A.jpg,NaN,1001
48945303,Subaru,Impreza,2003,синий,NaN,1.5,100,бензин,АКПП,передний,206000,No,No,No,правый,2,1,370000,https://vladivostok.drom.ru/subaru/impreza/48945303.html,универсал,No,16.11.2022,60,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/Yv080ILiGLk8S-VtMc80LOPMmSGdqwkczC_n0Ii1Vjy2SD5LRQTYL7HUCme1Kx1cBk8xNcFB36z-XQ9rKpoeXCQm-ZI4.jpg,NaN,600
48451879,Subaru,Impreza,2011,серый,NaN,1.5,110,бензин,АКПП,4WD,81000,No,No,No,правый,3,NaN,545000,https://vladivostok.drom.ru/subaru/impreza/48451879.html,седан,No,16.11.2022,74,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/vkNHFE1iwEMMeu82qWeRivT3oq_C4GwylguAIhJmqoyD4R-5nUS6Ah77OCbjYbjXx3O-xmEV2n2_qsBTfs8WEHHNV81G.jpg,NaN,1001
48686010,Subaru,Impreza,2012,серый,G4 2.0 i-S EyeSight 4WD,2.0,150,бензин,вариатор,4WD,182000,No,No,No,правый,4,NaN,850000,https://vladivostok.drom.ru/subaru/impreza/48686010.html,седан,No,16.11.2022,21,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/W5Fk84D6Qc5_NXomM_9DIDPjkgdJ8hteFueSijilR--24-5AdmF3p3rjsKuxSI0fbu8JNw3JTm6-B5AolPPzC1y-Obhs.jpg,owner,2340
48502109,Subaru,Impreza,2018,серебристый,Sport 1.6 i-L EyeSight,1.6,115,бензин,вариатор,передний,33000,No,No,No,правый,5,NaN,1075000,https://vladivostok.drom.ru/subaru/impreza/48502109.html,хэтчбек 5 дв.,Yes,16.11.2022,50,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/eVJWc1NNc6dorLJz4xXMyhX5KC0JALf3zAWlPRT-fV9wttdZspRY7sBy4EAP65GirNhIEU1SRNrjl8Lmc3gcDHOsxxW1.jpg,NaN,1794
48784461,Subaru,Impreza,2017,синий,NaN,2.0,154,бензин,вариатор,4WD,108000,No,No,No,правый,5,NaN,1330000,https://vladivostok.drom.ru/subaru/impreza/48784461.html,хэтчбек 5 дв.,Yes,16.11.2022,46,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/pDZN4rt5TNpcO3L4BtD_ilM-_pkOcTQOQRgieJOx-HZ8aVRO4K877inRAPxz49X5fHCV9JIj7-JCs-YUW8Jgq0icdXUQ.jpg,NaN,4312
47945362,Subaru,Impreza,2008,серый,NaN,2.0,280,бензин,механика,4WD,230000,No,No,No,правый,3,NaN,590000,https://vladivostok.drom.ru/subaru/impreza/47945362.html,хэтчбек 5 дв.,No,16.11.2022,109,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/aCTJh515jVmm3ivucEraMb0493JXms-1uTJ3J2LAPZ9BvEacuVz0EKHo0Xyy3VqaXFTMB7bAXGKcHwa8zTVs1Y8I-RqY.jpg,NaN,12600
48054147,Subaru,Impreza,2010,серый,1.5 i-S limited Premium package,1.5,110,бензин,АКПП,передний,134282,No,No,No,правый,3,NaN,620000,https://vladivostok.drom.ru/subaru/impreza/48054147.html,хэтчбек 5 дв.,No,16.11.2022,66,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/mUyt-jnnr_vr9rucCS3ZZCgVdE6_uveXgzHMMDVf_0FDu7zrctmLiWvQwnyt21UayzOyMxdP2KO-siM5X97kcf8aHB3o.jpg,owner,1001
47318821,Subaru,Impreza,2013,серый,NaN,1.6,115,бензин,вариатор,4WD,168000,No,No,No,правый,4,NaN,799999,https://vladivostok.drom.ru/subaru/impreza/47318821.html,хэтчбек 5 дв.,No,16.11.2022,36,Владивосток,No,No,8.4,Yes,Yes,https://s.auto.drom.ru/photo/pvcZ82snW-XgqM1Ul3FeGAepIpcm9eVAeUfphpjvXD556ZAw4WsSmw--dxNHfRsNau-aCFCIK-4DvUXKZl0dujGqsrNF.jpg,NaN,1794
